"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
0,0,8.30346,0,0,0,0,0,1,0,1,0,1,0,0
0,0,8.76476,0,0,0,0,0,1,0,1,0,1,0,0
0,0,9.22606,0,0,0,0,0,1,0,1,0,1,0,0
0,0,9.68736,0,0,0,0,0,1,0,1,0,1,0,0
0,0,10.14867,0,0,0,0,0,1,0,1,0,1,0,0
0.42261,0,8.30346,0,0,0,0,0,1,0,1,0,1,0,0
0.42261,0,8.76476,0,0,0,0,0,1,0,1,0,1,0,0
0.42261,0,9.22606,0,0,0,0,0,1,0,1,0,1,0,0
0.42261,0,9.68736,0,0,0,0,0,1,0,1,0,1,0,0
0.42261,0,10.14867,0,0,0,0,0,1,0,1,0,1,0,0
0.42261,0.42261,8.30346,0,0,0,0,0,1,0,1,0,1,0,0
0.42261,0.42261,8.76476,0,0,0,0,0,1,0,1,0,1,0,0
0.42261,0.42261,9.22606,0,0,0,0,0,1,0,1,0,1,0,0
0.42261,0.42261,9.68736,0,0,0,0,0,1,0,1,0,1,0,0
0.42261,0.42261,10.14867,0,0,0,0,0,1,0,1,0,1,0,0
1.26782,0.42261,10.14867,0,0,0,0,0,1,0,1,0,1,0,0
1.26782,0.84521,8.30346,0,0,0,0,0,1,0,1,0,1,0,0
1.26782,0.84521,8.76476,0,0,0,0,0,1,0,1,0,1,0,0
1.26782,0.84521,9.22606,0,0,0,0,0,1,0,1,0,1,0,0
1.26782,0.84521,9.68736,0,0,0,0,0,1,0,1,0,1,0,0
1.26782,0.84521,10.14867,0,0,0,0,0,1,0,1,0,1,0,0
1.26782,1.26782,8.30346,0,0,0,0,0,1,0,1,0,1,0,0
1.26782,1.26782,8.76476,0,0,0,0,0,1,0,1,0,1,0,0
1.26782,1.26782,9.22606,0,0,0,0,0,1,0,1,0,1,0,0
1.26782,1.26782,9.68736,0,0,0,0,0,1,0,1,0,1,0,0
1.26782,1.26782,10.14867,0,0,0,0,0,1,0,1,0,1,0,0
1.69042,0,8.30346,0,0,0,0,0,1,0,1,0,1,0,0
1.69042,0,8.76476,0,0,0,0,0,1,0,1,0,1,0,0
1.69042,0,9.22606,0,0,0,0,0,1,0,1,0,1,0,0
1.69042,0,9.68736,0,0,0,0,0,1,0,1,0,1,0,0
1.69042,0,10.14867,0,0,0,0,0,1,0,1,0,1,0,0
1.69042,0.42261,8.30346,0,0,0,0,0,1,0,1,0,1,0,0
1.69042,0.42261,8.76476,0,0,0,0,0,1,0,1,0,1,0,0
1.69042,0.42261,9.22606,0,0,0,0,0,1,0,1,0,1,0,0
1.69042,0.42261,9.68736,0,0,0,0,0,1,0,1,0,1,0,0
1.69042,0.42261,10.14867,0,0,0,0,0,1,0,1,0,1,0,0
1.69042,0.84521,8.76476,0,0,0,0,0,1,0,1,0,1,0,0
1.69042,0.84521,9.22606,0,0,0,0,0,1,0,1,0,1,0,0
1.69042,0.84521,9.68736,0,0,0,0,0,1,0,1,0,1,0,0
1.69042,0.84521,10.14867,0,0,0,0,0,1,0,1,0,1,0,0
1.69042,1.26782,8.30346,0,0,0,0,0,1,0,1,0,1,0,0
1.69042,1.26782,8.76476,0,0,0,0,0,1,0,1,0,1,0,0
1.69042,1.26782,9.22606,0,0,0,0,0,1,0,1,0,1,0,0
1.69042,1.26782,9.68736,0,0,0,0,0,1,0,1,0,1,0,0
1.69042,1.26782,10.14867,0,0,0,0,0,1,0,1,0,1,0,0
1.69042,1.69042,8.30346,0,0,0,0,0,1,0,1,0,1,0,0
1.69042,1.69042,8.76476,0,0,0,0,0,1,0,1,0,1,0,0
1.69042,1.69042,9.22606,0,0,0,0,0,1,0,1,0,1,0,0
1.69042,1.69042,9.68736,0,0,0,0,0,1,0,1,0,1,0,0
1.69042,1.69042,10.14867,0,0,0,0,0,1,0,1,0,1,0,0
2.11303,0,8.30346,0,0,0,0,0,1,0,1,0,1,0,0
2.11303,0,8.76476,0,0,0,0,0,1,0,1,0,1,0,0
2.11303,0,9.22606,0,0,0,0,0,1,0,1,0,1,0,0
2.11303,0,9.68736,0,0,0,0,0,1,0,1,0,1,0,0
2.11303,0,10.14867,0,0,0,0,0,1,0,1,0,1,0,0
2.11303,0.42261,8.30346,0,0,0,0,0,1,0,1,0,1,0,0
2.11303,0.42261,8.76476,0,0,0,0,0,1,0,1,0,1,0,0
2.11303,0.42261,9.22606,0,0,0,0,0,1,0,1,0,1,0,0
2.11303,0.42261,9.68736,0,0,0,0,0,1,0,1,0,1,0,0
2.11303,0.84521,8.30346,0,0,0,0,0,1,0,1,0,1,0,0
2.11303,0.84521,8.76476,0,0,0,0,0,1,0,1,0,1,0,0
2.11303,0.84521,9.22606,0,0,0,0,0,1,0,1,0,1,0,0
2.11303,0.84521,9.68736,0,0,0,0,0,1,0,1,0,1,0,0
2.11303,0.84521,10.14867,0,0,0,0,0,1,0,1,0,1,0,0
2.11303,1.26782,8.30346,0,0,0,0,0,1,0,1,0,1,0,0
2.11303,1.26782,8.76476,0,0,0,0,0,1,0,1,0,1,0,0
2.11303,1.26782,9.22606,0,0,0,0,0,1,0,1,0,1,0,0
2.11303,1.26782,9.68736,0,0,0,0,0,1,0,1,0,1,0,0
2.11303,1.26782,10.14867,0,0,0,0,0,1,0,1,0,1,0,0
2.11303,1.69042,8.30346,0,0,0,0,0,1,0,1,0,1,0,0
2.11303,1.69042,8.76476,0,0,0,0,0,1,0,1,0,1,0,0
2.11303,1.69042,9.22606,0,0,0,0,0,1,0,1,0,1,0,0
2.11303,1.69042,9.68736,0,0,0,0,0,1,0,1,0,1,0,0
2.11303,1.69042,10.14867,0,0,0,0,0,1,0,1,0,1,0,0
2.11303,2.11303,8.30346,0,0,0,0,0,1,0,1,0,1,0,0
2.11303,2.11303,8.76476,0,0,0,0,0,1,0,1,0,1,0,0
2.11303,2.11303,9.22606,0,0,0,0,0,1,0,1,0,1,0,0
2.11303,2.11303,9.68736,0,0,0,0,0,1,0,1,0,1,0,0
2.11303,2.11303,10.14867,0,0,0,0,0,1,0,1,0,1,0,0
0.84521,0,8.30346,0,0,0,0,0,1,0,1,0,1,0,0
1.26782,0.42261,9.68736,0,0,0,0,0,1,0,1,0,1,0,0
1.69042,0.84521,8.30346,0,0,0,0,0,1,0,1,0,1,0,0
2.11303,0.42261,10.14867,0,0,0,0,0,1,0,1,0,1,0,0
0.84521,0,8.76476,0,0,0,0,0,1,0,1,0,1,0,0
0.84521,0,9.22606,0,0,0,0,0,1,0,1,0,1,0,0
0.84521,0,9.68736,0,0,0,0,0,1,0,1,0,1,0,0
0.84521,0.42261,8.30346,0,0,0,0,0,1,0,1,0,1,0,0
0.84521,0.42261,8.76476,0,0,0,0,0,1,0,1,0,1,0,0
0.84521,0.42261,9.22606,0,0,0,0,0,1,0,1,0,1,0,0
0.84521,0.42261,9.68736,0,0,0,0,0,1,0,1,0,1,0,0
0.84521,0.42261,10.14867,0,0,0,0,0,1,0,1,0,1,0,0
